日期,渠道号,所属渠道,渠道类型,合作方式,部门,汇总类型,新增用户数,1日留存率,3日留存率,7日留存率,14日留存率,30日留存率,1日arpu净值,3日arpu净值,7日arpu净值,14日arpu净值,30日arpu净值,LT3,LT7,LT14,LT30,LT180预估,LT365预估,ltv1,ltv3,ltv7,ltv14,ltv30,ltv180预估,ltv365预估,新增单价,roi365预估,花费,活跃arpu,净值系数,活跃arpu净值,ltv180净值,ltv365净值,roi365净值,系数a,系数b,拟合优度
20190630,815154,头条-齐欣,线上CPC,付费推广,产品推广部,5,1048,0.291031,0,0,0,0,0.054885,0,0,0,0,1,1,1,1,16.778677,26.855838,0.054885,0,0,0,0,0.811618,1.299071,2.72376,0.47694,2854.5,0.048372,2.65,0.128186,2.150788,3.442538,1.263891,0.3123,-0.313,0.9817
20190630,813186,广点通-派瑞,线上CPC,付费推广,产品推广部,5,919,0.334059,0,0,0,0,0.105811,0,0,0,0,1,1,1,1,19.631065,31.887491,0.105811,0,0,0,0,0.859527,1.396162,2.832524,0.492904,2603.09,0.043784,2.65,0.116028,2.277747,3.699829,1.306196,0.345,-0.2957,0.9775
20190630,800690,日月同行,线上代理商,付费推广,产品推广部,5,441,0.478458,0,0,0,0,0.067937,0,0,0,0,1,1,1,1,36.318948,62.784931,0.067937,0,0,0,0,1.23074,2.127593,0,0,0,0.033887,2.65,0.089801,3.261461,5.638121,0,0.4794,-0.2167,0.9944
20190630,815983,快手--微创,线上CPC,付费推广,产品推广部,5,95,0.389474,0,0,0,0,0.040316,0,0,0,0,1,1,1,1,0,0,0.040316,0,0,0,0,0,0,5.741579,0,545.45,0.053626,2.65,0.142109,0,0,0,0,0,0
20190630,815627,掌越科技,线上代理商,付费推广,产品推广部,5,195,0.666667,0,0,0,0,0.110974,0,0,0,0,1,1,1,1,17.624957,24.456353,0.110974,0,0,0,0,0.395909,0.549363,0,0,0,0.022463,2.65,0.059527,1.049159,1.455812,0,0.7873,-0.5489,0.8928
20190630,815317,头条-优矩,线上CPC,付费推广,产品推广部,5,62,0.258065,0,0,0,0,0.010645,0,0,0,0,1,1,1,1,0,0,0.010645,0,0,0,0,0,0,0,0,0,0.049161,2.65,0.130277,0,0,0,0,0,0
20190630,810465,广点通--亿科,线上CPC,付费推广,产品推广部,5,139,0.323741,0,0,0,0,0.022518,0,0,0,0,1,1,1,1,20.887935,34.410306,0.022518,0,0,0,0,0.571974,0.942257,0,0,0,0.027383,2.65,0.072565,1.515731,2.496981,0,0.3412,-0.2761,0.9827
20190630,815673,日月同行,线上代理商,付费推广,产品推广部,5,204,0.421569,0,0,0,0,0.379118,0,0,0,0,1,1,1,1,0,0,0.379118,0,0,0,0,0,0,0,0,0,0.081034,2.65,0.21474,0,0,0,0,0,0
20190630,815423,头条-优矩,线上CPC,付费推广,产品推广部,5,98,0.234694,0,0,0,0,0.076429,0,0,0,0,1,1,1,1,0,0,0.076429,0,0,0,0,0,0,1.751531,0,171.65,0.066895,2.65,0.177272,0,0,0,0,0,0
20190630,814401,辉煌明天,线上代理商,付费推广,产品推广部,5,31,0.580645,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.006922,2.65,0.018343,0,0,0,0,0,0
20190630,811247,岚宇,线上代理商,付费推广,产品推广部,5,39,0.538462,0,0,0,0,0.11,0,0,0,0,1,1,1,1,0,0,0.11,0,0,0,0,0,0,0,0,0,0.034912,2.65,0.092517,0,0,0,0,0,0
20190630,815787,广点通--亿科,线上CPC,付费推广,产品推广部,5,113,0.522124,0,0,0,0,0.103451,0,0,0,0,1,1,1,1,0,0,0.103451,0,0,0,0,0,0,3.955752,0,447,0.063346,2.65,0.167867,0,0,0,0,0,0
20190630,815533,头条-优矩,线上CPC,付费推广,产品推广部,5,333,0.426426,0,0,0,0,0.068348,0,0,0,0,1,1,1,1,20.239394,31.840535,0.068348,0,0,0,0,0.903851,1.421935,3.876697,0.36679,1290.94,0.044658,2.65,0.118344,2.395205,3.768128,0.971993,0.4315,-0.3458,0.992
